video_url,author,comment,votes,time,is_reply
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@faradinaarsy1256,Bener2 berkelas.plottwis dibalik argumentasi kita dibalik sikap seseorg ternyata kita sendirilah si pembawa ransel.mempertanyakan knapa dia bla BLA BLA tp ternyata kita yg banyak ngeluh nya,0,12 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@Bkehh04,"jujur, ada cara tobat dri kebanyakan coli gk? gua muak tp susah banget keluar, udah 2 minggu gk nyentuh tp masih juga kena",0,12 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@dewikhaira258,"Done subscribe yaa, makasih ilmunyaa",0,12 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@vitorahmad-o7q,9:39,0,12 days ago,True
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@wedasantika6079,Kadang serasa masuk mode auto-pilot.,0,13 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@Nevertheless938,"Relate banget dengan kondisiku sekarang. Posisi kerja udah jadi kartap dengan gaji perbulan yang menurutku sangat cukup. Ekspetasiku dan orang² mungkin kerja dengan status kartap ini udah enak tinggal betahnya, jadi ketika aku ada di posisi lelah ingin melepas kerjaanku aku berusaha buat pertahanin kerjaan ini dengan cara apapun itu, karena semisal aku resign, di luar sana aku harus siap menghadapi omongan orang ""Resign lagi? Apa gak sayang?"" Hingga akhirnya aku harus kontrol tiap bulan ke psikiater huhu 🥲",0,13 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@marisoh6059,"kak anak saya cowok umur 20 tahun,anak itu benci bgt sama aku karna dia merasa d paksa harus begini begitu ,padahal saya sebagai orang tua pengine naknya lebih baik dari kita y,tek taruh  pondok sama sekolah d pondok ,setelah selesai malah gak mau ngapa ngapain,bagaimana cara membangun mental nya supaya gak benci sama saya ,sebagai ibunya ,terima kasih,dari kecil sering d buli sama temanya tp gak pernah ngomong ke saya",2,13 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@ArdjaWidjaya,Bagaimana kalo mau konsul sama mba analisa,0,13 days ago (edited),False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@natnatgamingYT,"Saya ada punya leader, tapi leadernya buat patah semangat bawahannya. 
Kalo lu cuma sebagai staff doang jgn berharap lebih, ga bisa bermimpi mau ini mau itu bisa jd kenyataan",1,13 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@Dewi_sinta-o3n,"Baru nyadar, harusnya aku lebih aware sama diri sendiri❤",0,13 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@jeda_sebelumtidur,"beban berat jika lingkungan terus berekspetasi kepada kita, tanpa ada yang memotivasi atau hanya sekedar apresiasi",7,13 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@hafidzfauzi2816,"Ini yang dicari, tonton dulu ah...",1,13 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@kenannie4716,taiwan..nyimak..kak,0,2 weeks ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@OdiChans,"Bener ,skrg baru aja usia 24 skrg jalalin aja apa adanya gak mikir expestasi sebelumnya stres bgt mencari mati matian expetasi tinggi pengen ini itu malah bikin rugi sendiri",0,2 weeks ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@jonbudi,ok,0,2 weeks ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@qyozaaa,Relate bangettt sama yg aku alamin selama hampir 2 tahun terakhir ini dlm berkarier🥲😭,2,2 weeks ago (edited),False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@Ersyida,https://youtu.be/x9mJO2sbwDM?si=vuYIajkxzH_1QjTg,0,2 weeks ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@intanmokoginta,❤❤❤,0,2 weeks ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@FaridahSyafrudin,Keren bangett daging semuaa isinyaa,0,2 weeks ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@FranandaRusadi-d8k,sudah bang,0,2 weeks ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@restudwi7125,"Keren banget part terakhirnya mba analisa, aku selalu suka sama kamu dari dulu huhu❤",0,2 weeks ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@enizulaiha8774,Kok wajahnya beda ya ka Analisa dari podcast yg dulu dulu,0,2 weeks ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@yogaariprastiya4473,🥺😔😖😣,0,2 weeks ago,False
